time_ms,ent_idx,bone,world_x,world_y,world_z,scr_x,scr_y,visible,box_x,box_y,box_w,box_h,bonearray_ptr,vm_w0,vm_w1,vm_w2,vm_w3
40795117,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.08,523.32,30.51,50.86,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40795117,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.08,523.32,30.51,50.86,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40795117,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.08,523.32,30.51,50.86,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40795117,24,head,-1148.71,829.27,64.26,576.86,527.40,1,-50.66,504.18,642.51,69.18,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40795117,24,neck_0,-1150.78,832.90,60.29,578.39,530.23,1,-50.66,504.18,642.51,69.18,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40795117,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,-50.66,504.18,642.51,69.18,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40795117,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,-50.66,504.18,642.51,69.18,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40795117,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,-50.66,504.18,642.51,69.18,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40795117,25,head,-829.71,1148.39,64.26,894.69,527.41,1,881.44,512.59,87.90,55.46,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40795117,25,neck_0,-830.56,1152.48,60.29,895.67,529.92,1,881.44,512.59,87.90,55.46,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40795117,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,881.44,512.59,87.90,55.46,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40795117,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,881.44,512.59,87.90,55.46,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40795117,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,881.44,512.59,87.90,55.46,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40796118,23,head,-510.29,1147.61,64.09,1090.41,527.51,1,1075.19,523.46,30.43,50.72,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40796118,23,neck_0,-510.33,1151.85,60.19,1091.32,530.35,1,1075.19,523.46,30.43,50.72,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40796118,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.19,523.46,30.43,50.72,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40796118,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.19,523.46,30.43,50.72,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40796118,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.19,523.46,30.43,50.72,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40796118,24,head,-1148.32,829.05,64.09,576.89,527.52,1,12.12,523.53,579.72,49.83,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40796118,24,neck_0,-1150.48,832.70,60.19,578.39,530.30,1,12.12,523.53,579.72,49.83,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40796118,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,12.12,523.53,579.72,49.83,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
